AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;EE_GRATUITO;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN
2019;9718;7;ESCUELA BASICA PAUL HARRIS;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;203;203;43;43;246
2019;9719;5;ESCUELA BASICA;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;214;214;59;59;273
2019;9720;9;COLEGIO HERNAN OLGUIN;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;588;588;164;164;752
2019;9721;7;ESCUELA NEMESIO ANTUNEZ;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;209;209;61;61;270
2019;9722;5;LICEO PORTAL DE LA CISTERNA;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;72;72;44;44;116
2019;9726;8;LICEO TENIENTE FRANCISCO MERY AGUIRRE;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;218;152;69;51;203
2019;9727;6;ESCUELA CIUDAD DE BARCELONA;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;2;1;0;1;1;2008;EMERGENTE;1;148;148;59;59;207
2019;9728;4;ESCUELA DIFERENCIAL PARA NINOS SORDOS;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;2;1;0;1;0; ; ;1;25;0;5;0;0
2019;9729;2;ESCUELA VILLA SUR;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;2;1;0;1;1;2008;RECUPERACION;1;189;189;66;66;255
2019;9730;6;COLEGIO ANTU;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;185;185;83;83;268
2019;9733;0;ESCUELA BASICA CLARA ESTRELLA;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;175;175;77;77;252
2019;9734;9;ESCUELA RAUL SAEZ SAEZ;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;137;137;29;29;166
2019;9736;5;ESCUELA BASICA BERNARDO O´HIGGINS;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;202;202;44;44;246
2019;9738;1;COLEGIO PARQUE LAS AMERICAS;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;2;1;0;1;1;2008;EMERGENTE;1;211;211;61;61;272
2019;9740;3;ESCUELA BASICA REPUBLICA DE LAS FILIPINAS;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;190;190;30;30;220
2019;9741;1;ESCUELA BASICA COEDUCACIONAL;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;199;199;54;54;253
2019;9747;0;C.E.I.A.PEDRO AGUIRRE CERDA;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;2;1;0;1;0; ; ;1;113;0;53;0;0
2019;9750;0;COLEGIO LO ESPEJO;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;3;2;0;1;1;2008;EMERGENTE;1;339;339;80;80;419
2019;9754;3;INSTITUTO COMERCIAL PARTICULAR LA CISTERNA;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;3;2;0;1;1;2013;EMERGENTE;1;255;255;151;151;406
2019;9757;8;CENTRO EDUCACIONAL SANTA CLARA;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;3;2;0;1;1;2009;EMERGENTE;1;335;335;321;321;656
2019;9758;6;COLEGIO SANTA ISABEL DE HUNGRIA;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;3;2;0;1;1;2008;EMERGENTE;1;354;354;380;380;734
2019;9759;4;LICEO LAURA VICUNA;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;3;2;0;1;1;2015;EMERGENTE;0;200;200;223;0;200
2019;9766;7;COLEGIO SANTA MARIA DE LOS ANGELES;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;3;2;0;1;0; ; ;0;90;0;147;0;0
2019;9767;5;LICEO MADRE CECILIA LAZZERI;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;3;2;0;1;0; ; ;0;92;0;239;0;0
